guba_name,total_readnum,total_replynum
财经评论吧,1272101854,387176
螺纹钢吧,46297191,79748
铁矿石吧,22181255,41239
核心内参吧,56217445,30057
股指期货吧,16714063,23482
创业板吧,15109666,20577
股市实战吧,25245648,18844
股民学校吧,73693947,18063
玉米吧,658966776,14996
橡胶吧,10131121,14446
