post_id,guba_name,readnum,replynum
"news,cjpl,419809422",玉米吧,657191970,13537
"news,zxb,614002065",中小板吧,764065,7168
"news,fczceta,138447392",PTA吧,1076205,5310
"news,gssz,694173220",股市实战吧,560306,3307
"news,hxnc,653675348",核心内参吧,146617,2108
"news,gssz,562574009",股市实战吧,858569,1651
"news,fdcel,99997951",聚乙烯吧,429510,1420
"news,cjpl,196572402",财经评论吧,2235798,1377
"news,cjpl,689006937",财经评论吧,1541968,963
"news,gmxx,558012711",股民学校吧,273178,825
